Test_Name,Topic_Area,Question_Text,Options_Count,Question_Length_Words,Readability_Grade,Requires_Calculator,Difficulty_Level
SAT Writing Test,Craft and Structure,"In recommending Bao Phis collection Sông I Sing, a librarian noted that pieces by the spoken-word poet dont lose their ______ nature when printed: the language has the same pleasant musical quality on the page as it does when performed by Phi.",4,42,18.770952380952384,0,Moderate
GRE Verbal,Text Completion,"Increasingly, the boundaries of congressional seats are drawn in order to protect incumbents, as legislators engineer the demographics of each district such that those already in office can coast to (i)         victory. Of course, there is always the possibility that the incumbent will face a challenge from within his or her own party. Nevertheless, once the primary is over, the general election is (ii)         .",6,65,13.01125,0,Moderate
GMAT,Quantitative Reasoning,"If a certain wheel turns at a constant rate of x revolutions per minute, how many revolutions will the wheel make in k seconds?",5,24,10.978333333333332,1,Easy
SAT Math,Geometry and Trigonometry,"If a circle has the diameter of 8 inches, what is the circumference?",4,13,7.633846153846157,1,Moderate
GMAT ,Data Insights,"If N is a positive three-digit number that is greater than 200, and each digit of N is a factor of N itself, what is the value of N?
(1) The tens digit of N is 5.
(2) The units digit of N is 5.",4,45,5.468888888888891,1,Hard
GRE Verbal,Reading Comprehension,"The Green Peas Grocery Store in the remote wealthy enclave of Luxville charges more than the Green Peas Grocery Store in Oak City charges for the same items. Clearly, on any given item, the Green Peas grocery franchise is taking advantage of its location in Luxville to reap higher profits on that item.",5,53,12.333679245283019,0,Easy
SAT Writing Test,Information and Ideas,"Recent archaeological findings have challenged long-held assumptions about the cognitive capabilities of Neanderthals. While these early hominids were once thought to be primitive compared to Homo sapiens, researchers now believe they possessed sophisticated mental faculties. A student writing about Neanderthals claims that they demonstrated advanced planning abilities in their hunting practices. Which quotation from an archaeological journal would best support the students claim?",4,63,14.714404761904763,0,Moderate
GMAT,Verbal Reasoning,"Mall Owner: Our malls occupancy rate is so low that we are barely making a profit. We cannot raise rents because of an unacceptably high risk of losing established tenants. On the other hand, a mall that is fully occupied costs about as much to run as one in which a rental space here and a rental space there stands empty. Clearly, therefore, to increase profits we must sign up new tenants.",5,72,8.310555555555556,0,Moderate
GMAT,Quantitative Reasoning,"A positive number x is decreased by 60% and then the result is increased by 80%. If y is the value after these 2 operations, which of the following gives x in terms of y?",5,35,7.4178571428571445,0,Moderate
GMAT,Data Insights,"What is the monthly rent for a certain apartment?  
(1) The monthly rent per person for 4 people to share the rent for the apartment is $375.
(2) The monthly rent per person for 4 people to share the rent of the apartment is $125 less than the monthly rent per person for 3 people to share the rent.",5,59,7.280000000000001,1,Moderate
SAT Writing Test,Standard English Conventions,Despite a fearsome cough that for two months racked his ___________ three ribs in a particularly violent episode  the decrepit nobleman had greedily held fast his grip on life.,4,30,14.030344827586209,0,Moderate
GMAT,Data Insights,"If y + 40x + 2 = 0, what is the value of xy?
(1) 16x = 4y + 28
(2) 13y = 91  52x",5,26,0.5360526315789471,0,Easy
GMAT,Quantitative Reasoning,"To pass a certain test, the ratio of the number of mistakes to the number of questions in the test must be lower than 7:40. If the test has 100 questions, what is the maximum number of mistakes Jack can make so that he can still pass the test?",5,49,8.895612244897961,1,Moderate
SAT Writing Test,Craft and Structure,"Baxters warnings about investing in technology stocks seemed like an act of ________ after
the whole market declined significantly.",4,19,12.935789473684213,0,Moderate
GMAT,Verbal Reasoning,"It takes the heat of large stars or supernovae to cause the fusion of magnesium with hydrogen, creating a chemically stable aluminum. Since aluminum is one of the most abundant elements on Earth, it can be inferred that, at least at some point, the temperature inside or outside Earth was comparable to that on large stars or supernovae.
Which of the following, if true, causes most damage to the conclusion of the argument above?",5,74,12.527297297297299,0,Hard
GMAT,Data Insights,"Find the value of xy.
(1) 7  2y + 3x = 2
(2) 9x = 6y  15",5,19,-0.2171428571428553,1,Easy
SAT Writing Test,Expression of Ideas,"Every chemical compound has a spectroscopic fingerprint, a pattern of reflected light unique to that compound. ______ upon analyzing the light reflected by the bright regions on the surface of the dwarf planet Ceres, Maria Cristina De Sanctis of Romes National Institute of Astrophysics was able to determine that the regions contain large amounts of the compound sodium carbonate. Which choice completes the text with the most logical transition?",4,69,14.243768115942029,0,Easy
ACT ,Maths,"In the Venn diagram, circles S, C, and P represent farms raising sheep, cows, and pigs, respectively. How many of the 47 farms represented in the diagram do not raise cows?",4,31,7.964677419354839,0,Moderate
GRE Verbal,Text Completion,"Although the scientist was initially _________ about the project, her attitude changed once she saw the preliminary results.",6,18,13.063333333333333,0,Easy
ACT ,Maths,"In ?ABC, ?A and ?C are congruent, and the measure of ?B is 143.6°. What is the measure of ?A?",4,20,1.1700000000000017,0,Easy
GRE Verbal,Sentence Equivalence,"The twins' heredity and upbringing were identical in nearly every respect, yet one child remained unfailingly sanguine even in times of stress while her sister was prone to angry outbursts that indicated an exceptionally choleric         .",6,36,19.974285714285717,0,Moderate
SAT Math,Algebra,Which of the following could be a graph of the function y=1x ?,4,13,3.84,0,Moderate
ACT ,Maths,"Lavonne purchased some tickets and snack vouchers for an upcoming event and gave them to the members of her work group. Each member of her work group received the same number of tickets and the same number of snack vouchers. The total number of tickets she gave to her group was 30, and the total number of snack vouchers was 75. Which of the following could be the number of members in Lavonnes work group?",4,75,7.141166666666667,0,Easy
SAT Writing Test,Craft and Structure,"Business researcher Melanie Brucks and colleagues found that remote video conference meetings may
be less conducive to brainstorming than in-person meetings are. The researchers suspect that video
meeting participants are focused on staring at the speaker on the screen and dont allow their eyes or
mind to wander as much, which may ultimately ______ creativity.",4,55,15.516818181818184,0,Moderate
ACT ,Maths,"The initial speed, in miles per hour, of a certain car that skids to a stop can be estimated by multiplying the length of the skid, in feet, by 35 and then taking the square root of the product. According to this method, what is the estimated initial speed, in miles per hour, of the car when it makes a 108-foot skid?",4,62,12.48709677419355,1,Moderate
GRE Verbal,Sentence Equivalence,"Water experts predict that unless the coming years rainfall will be significantly above average, the citys denizens, regardless of any protestations, will have to _____ their water usage.",6,28,16.822857142857142,0,Easy
ACT ,Maths,A boat is traveling at a speed of 30 miles per hour. What is the boats speed in feet per second?,4,21,2.55261904761905,1,Easy
SAT Math,Problem Solving and Analysis,"The average of six numbers is 4. If the average of two of those numbers is 2, what is the average of the other four numbers?",4,26,5.818461538461541,0,Easy
ACT ,Science,"Green anoles and brown anoles (2 species of reptiles) behave differently when the species are together in a habitat than when the species are in separate habitats. Table 1 lists the anole species present in each of 3 habitats (Habitats X, Y, and Z).",4,44,10.690000000000001,0,Moderate
GRE Verbal,Text Completion,"The term rocket scientist, as used to denote somebody of great erudition, is (i) ________ given that the last few decades has seen a flowering of vocations just as worthy of (ii) _________, and far more topical.",6,37,16.38054054054054,0,Easy
ACT ,Science,"Which of the following statements about the relationship between the number of A. percula per tank and the average SGR is consistent with the results of Experiment 2? On average, as the number of A. percula per tank increased, the average SGR:",4,42,7.890714285714285,0,Hard
SAT Math,Algebra,Which of the following expressions is equivalent to (a+b)(a?b)?,4,9,8.89777777777778,0,Easy
GRE Verbal,Sentence Equivalence,"The travel writer must invite ______________ ; few, if any travelogues, have ever been inspired by a languorous afternoon poolside.",6,20,11.693684210526317,0,Moderate
ACT ,Science,"Suppose that, in the experiments, 1 g of food were added to each tank at each feeding. A total of how many grams of food would have been placed into an individual tank each day?",4,35,7.4178571428571445,0,Moderate
SAT Writing Test,Standard English Conventions,"Although Mendeleevs table eliminated the chemical inconsistencies of the telluric helix, ___________ by standard chemical terminology, large pockets of the scientific community remained resistant to the notion of periodicity.",4,29,22.57517241379311,0,Moderate
ACT ,Science,"Since the early 1900s, there has been a steady increase in the earths atmospheric temperature, resulting in a phenomenon called Global Warming. While the steady temperature change has been well documented, the cause of global warming remains controversial.
Scientist 1
Scientist 1 believes that external forcings are the cause of increased temperature over the past century. External forcings can direct the change in temperature over thousands of years. One example of an external force is variation in the earths orbit around the sun. The earth orbital cycle lasts 26,000 years and causes general trends in warming and cooling.
Scientist 2
Scientist 2 believes that global warming is a man-made phenomenon due to an increase in greenhouse gases such as carbon dioxide or methane. Greenhouse gases have a natural warming effect, however, an increase in the amount of atmospheric greenhouse gases many enhance that effect. Since 1750, the concentration of carbon dioxide has increased 36 percent while the amount of atmospheric methane has increased 148 percent.
What is a potential cause for an increase in greenhouse gases since 1750?",4,178,11.239640449438202,0,Hard
ACT ,Science,"A physicist performs a series of experiments to determine the relative magnitude of electric charge on four particles. A given particle is considered to have a higher magnitude of charge than another if it will push out (or draw in) a positive test charge farther than the other particle. A particle that pushes the test charge has positive charge, while a particle that pulls (or draws in) the test charge has negative charge. This is known as the sign of the charge. Magnitude of charge is unrelated to sign. The experiment is conducted on a horizontal axis that measures from 20m in total: from 10m on the left to +10m on the right, with a measurement of 0m in the middle.",4,121,10.023760330578515,0,Moderate
GRE Verbal,Text Completion,"In (i) ________ what they see as a culture so dominated by technology as to be rendered incapable of sustained introspection, the authors cast generalizations so wide that all but the hardiest Luddites will remain (ii) ________.",6,37,18.612972972972972,0,Easy
ACT ,Science,"Scientists studied a species of termites and looked at their foraging habitats across the United States. The termites population in a given tree was measured by the level of decomposition within a tree due to the termites eating the bark. The experiment also kept track of the level of shade tolerance for each species of tree. For the species of trees in this experiment, shade tolerance fell into two main categorizes- shade tolerant (ST) and intermediate shade (IS). Lastly, they recorded the average amount of rainfall in that given month for the species location being observed. The chart below summarizes the data. Scientists hypothesized that the level of decomposition would be highest in tree species with a higher average rainfall. In addition, they hypothesized trees allowing more shade would allow for more termites, and in turn more decomposition.",4,138,11.317210144927536,0,Moderate
SAT Math,Problem Solving and Analysis,Maria paid $28 for a jacket that was discounted by 30%. What was the original price of the jacket?,4,19,5.504473684210527,1,Moderate
ACT ,Science,"Three doctors are discussing the most optimal way to approach cancer treatment. While they all acknowledge that cancer is uncontrolled cell proliferation, they have different opinions on whether chemotherapy is the best treatment method. Chemotherapy is the treatment of cancer with cytotoxic antienoplastic drugs. These drugs are used to kill fast-growing cancerous cells. All three doctors agree that chemotherapy has many associated side effects.",4,64,11.342625000000002,0,Moderate
ACT ,Science,"Both gases and liquids are considered to be fluids that have individual molecules that move around with kinetic and potential energy. Kinetic energy, defined as the energy related to motion, takes three forms: translational energy that occurs as a molecule moves from position A to position B, rotational energy that occurs as a molecule spins around an imaginary axis at its center of mass, and vibrational energy that occurs as individual atoms in a molecular bond move towards and away from each other. Usually, molecules possess varying combinations of kinetic energy forms. In contrast, potential energy is defined as stored energy that could be released to become kinetic energy. The total energy of a molecule is fixed, meaning that a molecule has some combination of kinetic and potential energies.
Varying amount of kinetic and potential energies define how molecules in a fluid interact with each other. For example, when the kinetic energy of a molecule is high (greater than 1000J), it can no longer interact with neighboring molecules strongly enough to remain a liquid. However, if the potential energies are too high (greater than 1000 J), molecules cannot escape a liquid to become a gas. If the kinetic energy is high and the potential energy is low, molecules tend to become a gas and can be modeled by an equation known as the Ideal Gas Law:
Where P is the pressure of a gas, V is the volume, n is the number of moles of a gas, R is a constant, and T is temperature in degrees Kelvin.
The Ideal Gas Law perfectly applies to particles with no mass, no intermolecular interactions, and no true volume. However, real molecules do not adhere perfectly to the Ideal Gas Law.
The relationship between kinetic and potential energy may best be illustrated by:",4,300,14.810000000000002,0,Hard
GRE Verbal,Text Completion,"Were scientific advancement simply a question of the mere accumulation of facts then we have made (1) ____________ progress over the last two centuries; however, it is not sheer data alone but rather a scientists ability to interpret this information that accounts for the (2) ____________ breakthroughs of the last couple hundred years.",6,53,24.449811320754723,0,Moderate
SAT Math,Problem Solving and Analysis,A patient requires a 30% decrease in the dosage of his medication. His current dosage is 340 mg. What will his dosage be after the decrease?,4,26,5.490000000000002,0,Easy
SAT Writing Test,Expression of Ideas,"Wishcyclingputting nonrecyclable items into recycling bins under the mistaken belief that those items can be recycledultimately does more harm than good. Nonrecyclable items, such as greasy pizza boxes, can contaminate recyclable materials, rendering entire batches unusable. ______ nonrecyclable products can damage recycling plants machinery. Which choice completes the text with the most logical transition?",4,54,14.804629629629634,0,Easy
SAT Math,Advanced Math,"A blouse normally sells for $138, but is on sale forn 25% off. What is the cost of the blouse?",4,20,1.2900000000000027,1,Moderate
ACT ,Maths,"The cost of 2 bags, 2 caps and 1 pair of gloves is $50. If the cost of 1 bag, 3 caps and 1 pairs of gloves is $40, what is the cost of 3 bags, 1 caps and 1 pair of gloves?",5,43,4.595000000000002,1,Moderate
ACT ,Maths,"In a sample study of light bulbs, the bulb life was recorded. It was observed that the maximum and minimum bulb lives recorded were 739 hours and 1624 hours, respectively. Which of the following inequalities represents all possible bulb lives, b
, observed in the study?",5,46,9.402222222222225,1,Hard
ACT ,Science,"Assuming the Earth to be a perfect sphere with a radius of 6000 km, and 0.12% of the Earth's volume is water, what is the approximate radius of Europa? Assume Europa to be a perfect sphere as well.",4,38,6.739473684210527,0,Moderate
SAT Math,Advanced Math,"A box of laundry detergent contains 16.5 oz of product. What is the maximum number of loads that can be washed if each load requires a minimum of 34
 oz of detergent?",4,32,5.532500000000002,1,Moderate
ACT ,Maths,"In a three-digit number ABC, where A, B and C represent digits from 1 to 9, A equals the square of the sum of B and C. How many such three-digit numbers are divisible by 3?",5,36,7.818888888888889,1,Hard
SAT Writing Test,Standard English Conventions,"Remarkable, ___________ through the frosted window to where Lady Cress was dancing a quadrille. Shes gone along with this the whole while.",4,22,4.790909090909089,0,Easy
SAT Math,Advanced Math,"A crane raises one end of a 3,300 lb steel beam. The other end rests upon the ground. If the crane supports 30% of the beams weight, how many pounds does it support?",4,33,2.645454545454548,1,Easy
GRE Verbal,Reading Comprehension,"In a certain state, over 80% of the land is made up of farms, but historically, large farm machinery has not sold well in this state. The percentage of land devoted to farms is not expected to increase. In fact, the number of farms in the state has been slowly declining over the past decade. A new manufacturer of large farm equipment is building a factory in the middle of this state, and the manufacturers plans for success depend on strong in-state sales of its product. Both the manufacturer and the industry analysts expect this manufacturer to be quite successful over the next few years. Which of the following, if true, most helps to provide a justification for the manufacturers and the industry analysts optimistic expectations?",5,126,11.61111111111111,0,Moderate
ACT ,Maths,"If the positive integer N leaves a remainder of 1 when divided by 6, which of the following statements would be true?
i) N2, if divided by 12 leaves a remainder 1
ii) N2?1 is divisible by 3
iii) N2+2 is divisible by 3",5,44,7.561818181818182,0,Hard
ACT ,Maths,"Abe daily intakes nutrition supplements of either only vitamins or only proteins. His daily intake quantity is 50 g of proteins and 120 mg vitamins. If, after N days, his total protein intake is P grams and his total vitamin intake is V grams, which of the following represents the relation between the number of days and his nutrition supplement?",5,60,11.68,1,Moderate
SAT Math,Algebra,"A tire on a car rotates at 500 rpm when the car is traveling at 50 kph. What is the circumference of the tire, in meters?",4,26,5.818461538461541,1,Moderate
ACT ,Maths,"A man buys m apples and n oranges, each costing $1.20 and 80 cents, respectively. If the man spends $8, how many combinations of apples and oranges could he have purchased if he needs to buy at least one of each kind?
",5,42,5.884285714285717,1,Hard
GRE Verbal,Reading Comprehension,"Each language has a word that captures a concept or emotional state in a way that no other language does. To capture such a breadth of expression, an artificial language should be created that contains words corresponding to all the different concepts and emotional states captured by the worlds languages. That is not to say that such a language would contain as many words as there are in all the worlds languages. Rather, only for those words that have no corresponding word in another language. While such a plan is hugely ambitious, the resulting language would be more thorough than any existing language.",5,103,10.430407766990296,0,Hard
ACT ,Maths,"In a bus trip from city A to city B, the fare is $3.60 while from city B to city C, the fare is $4.50. If John makes a total of n trips from city A to city B and m trips from city B to city C, with the total number of trips not exceeding 10, which of the following correctly gives the correct range of total fare, f, he had to pay for all the trips?",5,78,9.224358974358974,1,Hard
SAT Math,Geometry and Trigonometry,What is the measure of the solid line angle depicted by the following figure?,4,14,8.412857142857145,0,Moderate
ACT ,Maths,"At the local supermarket, 2 apples and one orange cost $1.50, while 3 apples and one orange cost $1.95. How much does an orange cost?",5,25,3.708000000000002,1,Easy
ACT ,English,"The ceremony of driving the golden spike was the culmination of efforts begun more than 30 years earlier. In 1845, the merchant and amateur geographer Asa Whitney suggested to Congress that it fund the construction of a railroad line between Chicago and northern California. President Abraham Lincoln, who selected the ultimate pathway for the railroad once plans were drawn up in 1862.
",4,62,12.644193548387097,0,Moderate
SAT Math,Geometry and Trigonometry,Which of the following letters represents the vertex in the picture below?,4,12,8.756666666666668,0,Easy
ACT ,English,"My mom had put me on the spot, and I needed to think fast. Maybe I should tell her the truth, I thought, the truth being that I had been fishing all of those mornings, that it was the right time of the year for catching trout and that English literature could wait. My dad had opened the previous warning letter from my high school, and he said he would have done the same thing himself. That's when we had made the pact. We wouldn't tell mom as long as I showed up for tests and kept up my grades. I had done my part, and I was tired of trying to hide the truth.
Which of the following statements best summarizes the passage above?",4,125,5.723085714285716,0,Easy
SAT Math,Problem Solving and Analysis,"Each face of a fair 14-sided die is labeled with a
number from 1 through 14, with a different number appearing on each face. If the die is rolled one time, what is the probability of rolling a 2? ",4,39,7.748333333333335,1,Moderate
SAT Writing Test,Standard English Conventions,"Unfortunately, because Chancourtois inexplicably included several polyatomic ions on the helix, and published his report using ___________ was largely ignored.",4,20,17.580000000000002,0,Moderate
SAT Math,Problem Solving and Analysis,"Circle A has a radius of 3n and circle B has a radius
of 129n, where n is a positive constant. The area of
circle B is how many times the area of circle A?",4,35,8.429285714285715,1,Easy
GRE Verbal,Text Completion,"Unlike the performances of her youth, in which she seamlessly inhabited a role, the performances of her later years were ____________, as though she were calling out to audiences, look how convincingly I can portray my character.",5,37,17.975135135135137,0,Moderate
SAT Math,Geometry and Trigonometry,"The measure of angle R is 2?/3radians. The measure of angle T is5?/12 radians greater than the measure ofangle R. What is the measure of angle T, in degrees?",4,29,4.7340517241379345,1,Moderate
SAT Writing Test,Information and Ideas,"Hip-hop pedagogy is a form of teaching thats gaining popularity across school subjects. It involves incorporating hip-hop and rap music into lessons as well as using hip-hop elements when teaching other subject matters. For example, Quan Nelomss students look for college-level vocabulary and historical events in rap songs. Researchers claim that in addition to developing students social justice awareness, hip-hop pedagogy encourages student success by raising students interest and engagement.
Which finding, if true, would most strongly support the underlined claim?",4,81,12.579851851851853,0,Moderate
SAT Math,Problem Solving and Analysis,"A list of 10 data values is shown.
6, 8, 16, 4, 17, 26, 8, 5, 5, 5
What is the mean of these data? ",4,25,2.5010000000000012,0,Easy
SAT Writing Test,Expression of Ideas,"The number of dark spots that appear on the Sun, known as sunspots, can vary greatly. For example, there were about 180 sunspots in November 2001. ______ there were only about 2 sunspots in December 2008.
Which choice completes the text with the most logical transition?",4,46,6.08195652173913,0,Easy
SAT Math,Algebra,"Each year, the value of an investment increases by
0.49% of its value the previous year. Which of the
following functions best models how the value of the investment changes over time?",4,32,6.638750000000002,0,Moderate
GRE Verbal,Sentence Equivalence,"In response to recent criticism of inhumane and unhygienic practices throughout the agricultural industry, farmers resolved to commission an advertising campaign portraying virtuous ranchers that would ________ the industry.",6,29,21.354482758620694,0,Moderate
GMAT ,Verbal Reasoning,"Although migraine headaches are believed to be caused by food allergies, putting patients on diets that eliminate those foods to which the patients have been demonstrated to have allergic migraine reactions frequently does not stop headaches. Obviously, some other cause of migraine headaches besides food allergies must exist. Which of the following, if true, would most weaken the conclusion above? ",5,60,11.876666666666669,0,Moderate
GMAT ,Quantitative Reasoning,"Coins are to be put into 7 pockets so that each pocket contains at least one coin. At most 3 of the pockets are to contain the same number of coins, and no two of the remaining pockets are to contain an equal number of coins. What is the least possible number of coins needed for the pockets?",5,58,7.412068965517243,0,Easy
SAT Writing Test,Information and Ideas,"Valia is a 1907 short story by Leonid Andreyev. In the story, the author emphasizes that the setting where the character Valia is reading is nearly silent: ______ Which quotation from Valia most effectively illustrates the claim?",4,37,11.397972972972973,0,Moderate
GMAT,Data Insights,"Buckets X and Y contained only water and bucket Y was 1/2 full. If all of the water in bucket X was then poured into bucket Y, what fraction of the capacity of Y was then filled with water?
(1) Before the water from X was poured, X was 1/3 full. 
(2) X and Y have the same capacity.",4,59,5.762500000000003,0,Moderate
GRE Verbal,Sentence Equivalence,"The protest at the capital yesterday was an absolute _______; while the activists had the best of intentions, the demonstration showed a complete lack of organization and was actually counterproductive to their cause.",6,33,18.3769696969697,0,Moderate
GRE Verbal,Reading Comprehension,"Most people imagine stark white temples and plain marble statues as the ideal of ancient Greek art. Nothing could be further from the truth, as the ancient Greeks lavished their statues, sculptures, and buildings with bright colors. The common misconception of plainly adorned Hellenic art can be blamed on the ancient Greeks biggest proponents in history. Enlightenment-era classicists eagerly visited ancient ruins in the eighteenth century and saw artifacts that had been weathered to plain white stone through decades of neglect. By the time nineteenth-century archaeologists found proof that the Parthenon and images of the Gods were meant to be in vivid hues, eminent scholars in Europe refused to countenance that pure white marble was not antiquitys aesthetic paradigm. Widespread acknowledgement of the ancient Greeks adoration of bright colors only came in the late twentieth and twenty-first centuries, as scientific tests proved ancient statuary and buildings had once been covered in polychrome paint.",5,153,14.253039215686275,0,Easy
GMAT ,Data Insights,"Is x divisible by 39?
(1) x divided by 65 results in a remainder of 7.
(2) x divided by 36 results in a remainder of 15.",4,27,5.401481481481483,1,Hard
GRE Verbal,Sentence Equivalence,"After a 12-year imprisonment under false treason charges, Alfred Dreyfus was justly ________, effectively putting an end to the French political scandal known as the Dreyfus Affair.",6,27,15.480740740740742,0,Moderate
GMAT ,Quantitative Reasoning,"Lloyd normally works 7.5 hours per day and earns $4.50 per hour. For each hour he works in excess of 7.5 hours on a given day, he is paid 1.5 times his regular rate. If Lloyd works 10.5 hours on a given day, how much does he earn for that day?",5,51,1.472720588235294,1,Moderate
GRE Verbal,Sentence Equivalence,"He hated unnecessary aesthetic details, so his furniture was strictly __________.",5,11,12.3,0,Easy
GMAT ,Quantitative Reasoning,"One hour after Yolanda started walking from X to Y, a distance of 45 miles, Bob started walking along the same road from Y to X. If Yolandas walking rate was 3 miles per hour and Bobs was 4 miles per hour, how many miles had Bob walked when they met?",5,51,9.62558823529412,0,Moderate
SAT Writing Test,Expression of Ideas,"Soursop is a popular fruit in Brazil, where it is eaten fresh or used in drinks and desserts. The fruit is high in antioxidants and vitamin C, which are known to have a variety of health benefits. ______ soursop is often recommended by doctors in Brazil to patients concerned about their health.
Which choice completes the text with the most logical transition?",4,62,8.345322580645163,0,Easy
GMAT ,Data Insights,"When a certain drug was administered to a group of patients, some patients showed improvement and some patients experienced side effects. If at least 10 patients experienced side effects and 60 percent of the patients who showed improvements also experienced side effects, did more patients in the group show improvement than experience side effects?
(1) 90 percent of the patients in the group showed improvement.
(2) 90 percent of the patients in the group who experienced side effects also showed improvement.",4,81,10.954413580246914,1,Hard
GRE Verbal,Reading Comprehension,"The industrial revolution in the 18th and 19th centuries was a period of significant technological advancement, particularly in the fields of manufacturing and transportation. The introduction of steam engines, mechanized looms, and other innovations transformed industries, leading to increased productivity and economic growth. However, this period also saw the rise of harsh working conditions, environmental degradation, and social inequalities. Despite these challenges, the industrial revolution laid the foundation for modern economies and spurred further technological progress.",4,76,18.059473684210534,0,Moderate
SAT Math,Algebra,"For the exponential function f, the value of f(1) is k, where k is a constant. Which of the following
equivalent forms of the function f shows the value of k as the coefficient or the base? ",4,37,8.527702702702705,1,Hard
